timestamp,timestamp_unix_milli,elapsed_s,connected_clients,total_clients,bytes_sent,bytes_received,uptime_s,lg_connected_clients,ws_rtt_avg_ms,ws_rtt_p50_ms,ws_rtt_p95_ms,ws_rtt_p99_ms,ws_rtt_max_ms,ws_jitter_ms,connection_drops,cpu_percent,memory_mb,migration_event
2026-02-22T18:33:45.839542021+01:00,1771781625839,115.000,4,4,7771513,171384,117.6,4,0.567,0.574,0.651,0.659,0.663,0.048,0,3.00,16.21,0
2026-02-22T18:33:46.839541582+01:00,1771781626839,116.000,4,4,7843313,172864,118.6,4,0.586,0.596,0.652,0.661,0.663,0.060,0,4.00,16.21,0
2026-02-22T18:33:47.839543913+01:00,1771781627839,117.000,4,4,7915113,174344,119.6,4,0.576,0.587,0.664,0.679,0.684,0.037,0,3.00,16.21,0
2026-02-22T18:33:48.839545842+01:00,1771781628839,118.000,4,4,7986913,175824,120.6,4,0.567,0.604,0.640,0.642,0.642,0.037,0,3.00,16.21,0
2026-02-22T18:33:49.839541658+01:00,1771781629839,119.000,4,4,8058713,177304,121.6,4,0.619,0.602,0.765,0.779,0.784,0.035,0,3.00,16.21,0
2026-02-22T18:33:50.839543792+01:00,1771781630839,120.000,4,4,8130513,178784,122.6,4,0.618,0.599,0.786,0.798,0.799,0.040,0,3.00,16.21,0
2026-02-22T18:33:51.839541629+01:00,1771781631839,121.000,4,4,8202313,180264,123.6,4,0.603,0.594,0.772,0.786,0.790,0.042,0,3.00,16.21,0
2026-02-22T18:33:52.839541537+01:00,1771781632839,122.000,4,4,8274113,181744,124.6,4,0.601,0.591,0.772,0.784,0.791,0.032,0,3.00,16.21,0
2026-02-22T18:33:53.839541522+01:00,1771781633839,123.000,4,4,8345913,183224,125.6,4,0.579,0.590,0.771,0.773,0.774,0.031,0,3.00,16.21,0
2026-02-22T18:33:54.839541684+01:00,1771781634839,124.000,4,4,8417713,184704,126.6,4,0.600,0.590,0.771,0.794,0.798,0.039,0,3.00,16.21,0
2026-02-22T18:33:55.839541489+01:00,1771781635839,125.000,4,4,8489513,186184,127.6,4,0.611,0.585,0.780,0.786,0.786,0.039,0,3.00,16.21,0
2026-02-22T18:33:56.83954155+01:00,1771781636839,126.000,4,4,8561313,187664,128.6,4,0.570,0.586,0.772,0.802,0.813,0.035,0,2.00,16.21,0
2026-02-22T18:33:57.839543631+01:00,1771781637839,127.000,4,4,8633113,189144,129.6,4,0.575,0.574,0.770,0.778,0.783,0.045,0,3.00,16.21,0
2026-02-22T18:33:58.839541646+01:00,1771781638839,128.000,4,4,8704913,190624,130.6,4,0.559,0.530,0.753,0.783,0.795,0.048,0,4.00,16.21,0
2026-02-22T18:33:59.839541961+01:00,1771781639839,129.000,4,4,8776713,192104,131.6,4,0.569,0.562,0.767,0.771,0.771,0.040,0,3.00,16.21,0
2026-02-22T18:34:00.839541477+01:00,1771781640839,130.000,4,4,8848513,193584,132.6,4,0.577,0.569,0.757,0.798,0.801,0.043,0,3.00,16.21,0
2026-02-22T18:34:01.839544916+01:00,1771781641839,131.000,4,4,8920313,195064,133.6,4,0.549,0.526,0.764,0.767,0.768,0.036,0,2.00,16.21,0
2026-02-22T18:34:02.839541741+01:00,1771781642839,132.000,4,4,8992113,196544,134.6,4,0.584,0.581,0.769,0.775,0.777,0.042,0,4.00,16.21,0
2026-02-22T18:34:03.839541612+01:00,1771781643839,133.000,4,4,9063913,198024,135.6,4,0.553,0.559,0.624,0.625,0.625,0.031,0,3.00,16.21,0
2026-02-22T18:34:04.839541763+01:00,1771781644839,134.000,4,4,9135713,199504,136.6,4,0.568,0.572,0.766,0.779,0.781,0.038,0,3.00,16.21,0
2026-02-22T18:34:05.839543477+01:00,1771781645839,135.000,4,4,9207513,200984,137.6,4,0.599,0.588,0.765,0.792,0.805,0.040,0,3.00,16.21,0
2026-02-22T18:34:06.839541808+01:00,1771781646839,136.000,4,4,9279313,202464,138.6,4,0.576,0.576,0.764,0.785,0.793,0.042,0,2.00,16.21,0
2026-02-22T18:34:07.83954166+01:00,1771781647839,137.000,4,4,9351113,203944,139.6,4,0.599,0.597,0.771,1.034,1.200,0.085,0,5.00,16.21,0
2026-02-22T18:34:08.839541686+01:00,1771781648839,138.000,4,4,9422913,205424,140.6,4,0.579,0.556,0.758,0.772,0.773,0.041,0,3.00,16.21,0
2026-02-22T18:34:09.839541539+01:00,1771781649839,139.000,4,4,9494713,206904,141.6,4,0.539,0.554,0.624,0.626,0.628,0.046,0,4.00,16.21,0
2026-02-22T18:34:10.839541751+01:00,1771781650839,140.000,4,4,9566513,208384,142.6,4,0.538,0.554,0.619,0.628,0.630,0.039,0,2.00,16.21,0
2026-02-22T18:34:11.839541747+01:00,1771781651839,141.000,4,4,9638313,209864,143.6,4,0.556,0.569,0.634,0.654,0.663,0.049,0,3.00,16.21,0
2026-02-22T18:34:12.839541637+01:00,1771781652839,142.000,4,4,9710113,211344,144.6,4,0.554,0.568,0.648,0.652,0.654,0.048,0,2.00,16.21,1
2026-02-22T18:34:13.839541565+01:00,1771781653839,143.000,0,0,0,0,0.0,4,0.532,0.562,0.610,0.612,0.613,0.059,0,0.00,0.00,0
2026-02-22T18:34:14.839540807+01:00,1771781654839,144.000,4,4,9763665,212676,147.0,4,0.000,0.000,0.000,0.000,0.000,0.000,0,2.00,16.21,0
2026-02-22T18:34:16.839540882+01:00,1771781656839,146.000,4,4,9768249,212676,147.1,4,0.000,0.000,0.000,0.000,0.000,0.000,0,0.00,16.21,0
